Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 13:00:00,08/02/13 14:00:00,27.97225
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 13:00:00,08/02/13 14:00:00,13.986125
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 14:00:00,08/02/13 15:00:00,26.5550055555556
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 14:00:00,08/02/13 15:00:00,13.2775027777778
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 15:00:00,08/02/13 16:00:00,13.5204611111111
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 15:00:00,08/02/13 16:00:00,27.0409222222222
AmazonDynamoDB,StandardStorage,TimedStorage-ByteHrs,,08/02/13 15:00:00,08/02/13 16:00:00,34290193.3946489
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 17:00:00,08/02/13 18:00:00,28.1328722222222
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 17:00:00,08/02/13 18:00:00,14.0664361111111
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 18:00:00,08/02/13 19:00:00,12.7980194444444
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 18:00:00,08/02/13 19:00:00,25.5960388888889
AmazonDynamoDB,StandardStorage,TimedStorage-ByteHrs,,08/02/13 19:00:00,08/02/13 20:00:00,34280746.3668128
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 19:00:00,08/02/13 20:00:00,27.8167944444444
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 19:00:00,08/02/13 20:00:00,13.9083972222222
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 21:00:00,08/02/13 22:00:00,27.8290444444444
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 21:00:00,08/02/13 22:00:00,13.9145222222222
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 22:00:00,08/02/13 23:00:00,25.3162333333333
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 22:00:00,08/02/13 23:00:00,12.6581166666667
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/02/13 23:00:00,08/03/13 00:00:00,14.2804833333333
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/02/13 23:00:00,08/03/13 00:00:00,28.5609666666667
AmazonDynamoDB,StandardStorage,TimedStorage-ByteHrs,,08/02/13 23:00:00,08/03/13 00:00:00,34348234.8126422
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/03/13 01:00:00,08/03/13 02:00:00,28.7231666666667
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/03/13 01:00:00,08/03/13 02:00:00,14.3615833333333
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/03/13 02:00:00,08/03/13 03:00:00,26.7188388888889
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/03/13 02:00:00,08/03/13 03:00:00,13.3594194444444
AmazonDynamoDB,CommittedThroughput,WriteCapacityUnit-Hrs,,08/03/13 04:00:00,08/03/13 05:00:00,14.80395
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/03/13 04:00:00,08/03/13 05:00:00,29.6079
AmazonDynamoDB,StandardStorage,TimedStorage-ByteHrs,,08/03/13 04:00:00,08/03/13 05:00:00,35753866.1417928
AmazonDynamoDB,CommittedThroughput,ReadCapacityUnit-Hrs,,08/03/13 05:00:00,08/03/13 06:00:00,29.7242611111111
